time,open,high,low,close,volume
2020-01-06,3.07,3.07,2.87,2.92,403600
2020-01-07,2.97,3.02,2.92,2.92,194765
2020-01-08,2.92,2.92,2.77,2.87,374100
2020-01-09,2.87,3.02,2.87,2.92,60040
2020-01-10,2.97,3.12,2.97,2.97,379815
2020-01-13,3.02,3.07,2.92,2.97,101100
2020-01-14,3.02,3.02,2.87,2.92,84830
2020-01-15,3.02,3.02,2.87,2.92,145000
2020-01-16,2.92,2.97,2.82,2.87,206600
2020-01-17,2.92,2.92,2.82,2.87,86622
2020-01-20,2.87,2.92,2.82,2.87,204040
2020-01-21,2.87,3.02,2.87,2.97,185010
2020-01-22,2.97,3.12,2.92,3.12,252660
2020-01-30,3.07,3.12,2.97,2.97,171200
2020-01-31,3.02,3.07,2.92,2.97,66310
2020-02-03,2.87,3.32,2.52,2.92,665100
2020-02-04,2.87,3.02,2.77,2.87,208400
2020-02-05,2.92,2.97,2.77,2.82,98200
2020-02-06,2.82,2.97,2.82,2.87,144415
2020-02-07,2.87,2.87,2.77,2.87,299300
2020-02-10,2.82,2.97,2.82,2.92,175700
2020-02-11,2.87,2.92,2.82,2.92,44800
2020-02-12,2.92,2.92,2.82,2.82,213506
2020-02-13,2.82,2.87,2.77,2.82,153200
2020-02-14,2.82,2.92,2.82,2.92,170100
2020-02-17,2.92,2.97,2.87,2.92,231200
2020-02-18,2.97,2.97,2.87,2.97,144720
2020-02-19,2.97,2.97,2.87,2.87,57400
2020-02-20,2.92,2.92,2.87,2.92,97000
2020-02-21,2.92,3.12,2.82,3.02,519110
2020-02-24,2.97,2.97,2.87,2.92,118700
2020-02-25,2.87,2.92,2.82,2.87,75100
2020-02-26,2.82,2.87,2.77,2.82,212416
2020-02-27,2.82,2.87,2.77,2.87,82430
2020-02-28,2.82,2.82,2.77,2.77,133200
2020-03-02,2.77,2.82,2.72,2.77,138015
2020-03-03,2.82,2.92,2.77,2.82,70200
2020-03-04,2.87,2.87,2.77,2.82,212627
2020-03-05,2.77,2.87,2.77,2.77,230100
2020-03-06,2.77,2.82,2.72,2.82,176820
